no,formal_name,url,admin,purpose_summary,annual_grant_amount_yen,annual_grant_year,award_count_2024_2025,basic_assets_yen,total_assets_yen,main_programs,jfc_rank,extraction_status,source_basis
81,公益財団法人後藤喜代子・ポールブルダリ癌基金協会,https://www.kiyoko-foundation.or.jp,内閣府,(1)癌撲滅に寄与する基礎医学及び臨床医学医療に関する優秀な研究論文を著した日本人医学者に賞金を付与すること。 (2) 講演会、シンポジウム等を開催又は共催し、研究の普及、啓発を図ること。 (3)癌撲滅に寄与する研究者の国際間交流のための助成を行うこと。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
82,公益財団法人愛知県がん研究振興会,https://www.acrf.or.jp,愛知県,がんその他の悪性新生物に関する研究を助長奨励するとともに、これら疾患の最新の診断治療技術の普及を促進し、もって県民の健康と福祉の増進に寄与することを目的とする。,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
83,公益財団法人日米医学医療交流財団,https://janamef.jp,内閣府,国際的な医学医療研修者の派遣・招聘への助成及び支援、国際的な医学医療交流の促進及び普及啓発のためのセミナー開催、並びに国際的な医学医療に関する調査・研究への助成及び支援,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
84,公益財団法人永井記念薬学国際交流財団,,内閣府,薬学に関する国際研究交流を推進し、薬学研究の振興に寄与することを目的として、研究・調査、海外派遣・招聘、国際研究集会、人材育成、優れた研究成果の表彰等への助成,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
85,公益財団法人神澤医学研究振興財団,https://kanzawa-f.kissei.co.jp,内閣府,周産期を中心とするリプロダクティヴ・エイジ及び高老年期の女性に発現する各種疾患に関する成因、予防、診断、治療等の多角的な研究の奨励事業,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
86,公益財団法人薬学振興会,,内閣府,１．薬学の基礎的研究に対する援助 ２．研究者の海外派遣その他国際学術交流に対する援助 ３．その他上記の目的を達成するために必要な事業,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
87,公益財団法人フランスベッド・ホームケア財団,,内閣府,在宅ケア推進の一環として、研究および事業に対する助成事業を行うとともに、調査研究や海外での情報提供を行い、もって国民医療の向上に寄与することを目的としております。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
88,公益財団法人伊藤記念財団,https://www.itokinen-zaidan.or.jp,内閣府,食肉に関する研究及び調査を行い、もって畜産業及び食品産業の振興と国民食生活の安定に寄与することを目的とし、食肉の生産、処理、加工等に関する研究助成、表彰及び情報の普及広報、基礎的研究、調査等を行う。,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
89,公益財団法人大和証券財団,,内閣府,福祉、医療に関するボランティア団体の活動支援やボランティア精神の普及啓発活動等を行い、福祉の向上に資すること、及び、生活習慣病をはじめとした中高年、高齢者の病気の予防と治療に関する研究の助成事業。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
90,公益財団法人太陽生命厚生財団,http://www.taiyolife-zaidan.or.jp,内閣府,高齢者福祉、障がい者福祉に関する諸活動に対する助成並びに高齢者保健・医療、生活習慣病または高齢者福祉に関する調査研究活動への助成事業を行っている。,30000000,2024est,,,,高齢者保健・医療、生活習慣病または高齢者福祉に関する調査研究への助成,,DB抽出済,koeki_research_foundations + corporate_research_grants.sqlite
91,公益財団法人日本食品化学研究振興財団,,内閣府,食品添加物の安全性及び有用性等食品化学に関する研究等に対する助成事業、食品添加物その他食品化学に関する情報の収集及び提供事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
92,公益財団法人精神分析武田こころの健康財団,,内閣府,精神分析学及び精神分析学関連諸科学の研究助成及び講演会・相談会等の実施、公共性の高い精神保健福祉関連団体の講演会や相談会等の事業への助成し、国民のこころの健康と福祉の増進に寄与する,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
93,公益財団法人自然保護助成基金,https://www.pronaturajapan.com,内閣府,国内外の研究者や一般市民による地球環境と生物多様性の保全に関する研究および活動についての助成事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
94,公益財団法人野口研究所,https://noguchi.or.jp,内閣府,化学工業の振興に期するため諸般の研究、調査を行うと共に、広く重要な研究に対し援助を行い、人材の養成など助成事業と合わせ世の中の発展、特にヒトの健康や持続的社会の実現に役立つことを目指して活動している。,,,,,,野口遵研究助成金,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
95,公益財団法人鈴木万平糖尿病財団,https://www.suzuki-manpei-df.or.jp,内閣府,糖尿病研究の向上発展に資する海外留学、外国人研究者招聘、会議・シンポジウム、調査研究に対する助成事業並びに糖尿病の治療・予防に貢献した優れた業績及び糖尿病に関する独創的かつ卓越した研究業績に対する褒賞事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
96,公益財団法人食生活研究会,http://z-ssk.org,内閣府,健康で豊かな食生活の向上に貢献するとの理念のもとに、食料、食生活及び食文化に関する調査研究、交流、研究助成、講演会の開催、海外からの留学生支援及び我が国から海外への留学生支援,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
97,公益財団法人がんの子どもを守る会,http://www.ccaj-found.or.jp,内閣府,子どもの難病である小児がんに関して、知識の普及及び相談、調査及び研究助成、療養に関する援助、その他の事業を行い、もって社会福祉及び国民保健の向上に寄与することを目的とする法人である。,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
98,公益財団法人臨床薬理研究振興財団,https://www.rinyaku-fdn.or.jp,内閣府,臨床薬理に関する研究のための研究機関又は研究者に対する助成。臨床薬理に関する研究 のための研究者の海外留学に対する助成。その他臨床薬理研究に寄与する事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
99,公益財団法人ウイステリア健康サポート財団,,神奈川県,⑴ 地域の人々への講演会の開催による未病改善に関する啓蒙活動 　⑵　健康サポート薬局での未病改善に関するセミナー開催及び未病チェック（血糖測定等） 　⑶　栄養相談会の開催による生活習慣病予防のための食生活の改善促進 　⑷　フレイル（虚弱化）の進行予防に関する多職種（医師、歯科医師、薬剤師、看護師、栄養士、介護福祉士等)連携の推進 　⑸　未病改善に関する専門知,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
100,公益財団法人政策医療振興財団,,内閣府,国民保険の円滑な実施に資するため、国の政策医療に関し、研究の助成等を通じ、その振興を図る。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
